Job Title,Skills
Business Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Product Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Brand Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Marketing Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Operations Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Business Development Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Strategy Consultant (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Management Consultant (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Category Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Retail Operations Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Sales Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Key Account Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Market Research Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Procurement Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Supply Chain Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Customer Success Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Commercial Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Channel Sales Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
CRM Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
E-commerce Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Project Coordinator (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Program Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Relations Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Vendor Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Pricing Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Revenue Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Growth Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Partnership Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Franchise Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Digital Marketing Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Advertising Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Trade Marketing Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
